parameter,estimate,se,ci_lower,ci_upper
tvV,9.760372324849227,0.24306446587860023,9.283974725805704,10.23676992389275
tvCL,3.876836215859196,0.10701212915960671,3.6670962967974177,4.086576134920974
tvV2,30.817950050706532,1.2830615054301662,28.30319571011366,33.33270439129941
tvQ,8.773809544790044,0.27296956074547546,8.238799036853193,9.308820052726896
"Ω₁,₁",0.014870608633325942,0.0034232580149647636,0.008161146214206917,0.021580071052444968
"Ω₂,₂",0.01997499536548312,0.005248999859123831,0.009687144686744574,0.030262846044221664
"Ω₃,₃",0.029190421246291478,0.01117244065046098,0.00729283995197666,0.051088002540606296
"Ω₄,₄",0.023178779660129628,0.005652200716234579,0.012100669822918336,0.03425688949734092
σ₁,0.09402804501406828,0.003503564941732996,0.08716118391077442,0.10089490611736214
